Befattning,Arbetsplats,Antal hela år med arbete i klinisk verksamhet,Specialist eller ST-fysiker,Översjukhusfysiker enl. nationell kompetensstege,Högre examen ,Grundlön okt 2024,Fast tillägg per månad,Förmåner per månad,Rörlig lön per månad,Jour och beredskap per månad,Månadslön totalt
Sjukhusfysiker,Universitetssjukhus,8,ST-fysiker,Nej,,41850,,,,,41850
Sjukhusfysiker,Övriga sjukhus,9,Specialist,Nej,,51900,0.0,0.0,0.0,0.0,51900
Sjukhusfysiker,Universitetssjukhus,9,Specialist,Nej,,49000,4000.0,,,,53000
Sjukhusfysiker,Universitetssjukhus,6,Nej,Nej,,42200,,,,,42200
Sjukhusfysiker,Universitetssjukhus,8,ST-fysiker,Nej,,48750,,,,,48750
Sjukhusfysiker,Universitetssjukhus,9,Nej,Nej,,42700,,,,,42700
Sjukhusfysiker,Universitetssjukhus,5,ST-fysiker,Nej,,39750,,,,6000.0,45750
Sjukhusfysiker,Universitetssjukhus,12,Specialist,Nej,Doktorsutbildning/examen,64000,,,,,64000
Sjukhusfysiker,Övriga sjukhus,9,ST-fysiker,Nej,,52500,2500.0,,,,55000
Sjukhusfysiker,Universitetssjukhus,4,Nej,Nej,,39000,4000.0,,,,43000
Sjukhusfysiker,Universitetssjukhus,15,Specialist,Nej,Doktorsutbildning/examen,58500,,,,,58500
Sjukhusfysiker,Universitetssjukhus,10,ST-fysiker,Nej,,41500,0.0,0.0,0.0,0.0,41500
Sjukhusfysiker,Universitetssjukhus,8,Specialist,Nej,,50400,,,,,50400
Sjukhusfysiker,Universitetssjukhus,11,Specialist,Nej,,42600,,,,,42600
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,,55500,,,,,55500
Sjukhusfysiker,Övriga sjukhus,11,Specialist,Nej,,50360,,,,,50360
Sjukhusfysiker,Universitetssjukhus,11,ST-fysiker,Nej,,47600,4000.0,,,,51600
Sjukhusfysiker,Övriga sjukhus,4,ST-fysiker,Nej,Doktorsutbildning/examen,45200,,,,,45200
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,45800,,,,,45800
Sjukhusfysiker,Övriga sjukhus,7,Nej,Nej,,44000,,,,,44000
Sjukhusfysiker,Universitetssjukhus,7,Nej,Nej,Doktorsutbildning/examen,45350,,,,,45350
Sjukhusfysiker,Övriga sjukhus,10,Specialist,Nej,,47100,,,,,47100
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,,37000,,,,,37000
Sjukhusfysiker,Övriga sjukhus,9,ST-fysiker,Nej,,46500,,,,,46500
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,,51900,3000.0,,,,54900
Sjukhusfysiker,Universitetssjukhus,9,ST-fysiker,Nej,,46000,,,,,46000
Sjukhusfysiker,Universitetssjukhus,14,Nej,Nej,Doktorsutbildning/examen,50400,,,,,50400
Sjukhusfysiker,Övriga sjukhus,10,ST-fysiker,Nej,,43900,,,,,43900
Sjukhusfysiker,Universitetssjukhus,6,ST-fysiker,Nej,Doktorsutbildning/examen,41750,,,,,41750
Sjukhusfysiker,Övriga sjukhus,12,ST-fysiker,Nej,,43150,,,,,43150
Sjukhusfysiker,Universitetssjukhus,6,Nej,Nej,Doktorsutbildning/examen,50900,,,,,50900
Sjukhusfysiker,Övriga sjukhus,12,Specialist,Nej,,51310,,,,,51310
Sjukhusfysiker,Universitetssjukhus,8,ST-fysiker,Nej,,43000,,,,,43000
Sjukhusfysiker,Universitetssjukhus,12,Specialist,Nej,Doktorsutbildning/examen,53000,,,,,53000
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,54000,2000.0,,,,56000
Sjukhusfysiker,Övriga sjukhus,12,Specialist,Nej,,51500,,,,,51500
Sjukhusfysiker,Övriga sjukhus,13,Nej,Nej,,47000,,,,,47000
Sjukhusfysiker,Universitetssjukhus,12,ST-fysiker,Nej,Doktorsutbildning/examen,51600,,,,,51600
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,81000,24000.0,0.0,0.0,0.0,105000
Sjukhusfysiker,Universitetssjukhus,14,Specialist,Nej,Doktorsutbildning/examen,57150,1500.0,,,,58650
Sjukhusfysiker,Universitetssjukhus,12,Specialist,Nej,,47900,,,,,47900
Sjukhusfysiker,Övriga sjukhus,10,ST-fysiker,Nej,,49420,0.0,0.0,0.0,0.0,49420
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,48000,1000.0,,,,49000
Sjukhusfysiker,Övriga sjukhus,9,ST-fysiker,Nej,,46900,,,,,46900
Sjukhusfysiker,Övriga sjukhus,13,Specialist,Nej,,48000,,,,,48000
Sjukhusfysiker,Universitetssjukhus,13,ST-fysiker,Nej,,49700,,,,,49700
Sjukhusfysiker,Universitetssjukhus,12,ST-fysiker,Nej,Doktorsutbildning/examen,57850,,,,,57850
Sjukhusfysiker,Universitetssjukhus,15,Specialist,Nej,,50650,,,,,50650
Sjukhusfysiker,Övriga sjukhus,12,ST-fysiker,Nej,,47200,,,,,47200
Sjukhusfysiker,Övriga sjukhus,12,ST-fysiker,Nej,,47110,,,,,47110
Sjukhusfysiker,Övriga sjukhus,14,ST-fysiker,Nej,,53900,,,,,53900
Sjukhusfysiker,Övriga sjukhus,15,Specialist,Nej,Licentiatutbildning/examen,60557,,,,,60557
Sjukhusfysiker,Universitetssjukhus,15,ST-fysiker,Nej,,50400,1000.0,,,,51400
Sjukhusfysiker,Övriga sjukhus,16,Specialist,Nej,,47893,1250.0,,,,49143
Sjukhusfysiker,Universitetssjukhus,10,ST-fysiker,Nej,Doktorsutbildning/examen,54700,,,,,54700
Sjukhusfysiker,Universitetssjukhus,8,Nej,Nej,Doktorsutbildning/examen,50500,,,,,50500
Sjukhusfysiker,Universitetssjukhus,15,Specialist,Nej,Doktorsutbildning/examen,64000,,,,,64000
Sjukhusfysiker,Övriga sjukhus,16,Specialist,Nej,,54900,,,,,54900
Sjukhusfysiker,Annan arbetsplats,20,Specialist,Nej,Doktorsutbildning/examen,60300,,,,,60300
Sjukhusfysiker,Universitetssjukhus,12,ST-fysiker,Nej,,42800,,,,,42800
Sjukhusfysiker,Universitetssjukhus,14,ST-fysiker,Nej,Doktorsutbildning/examen,53950,,,,,53950
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,,51250,,,,,51250
Sjukhusfysiker,Universitetssjukhus,18,Specialist,Nej,,61150,2000.0,,,,63150
Sjukhusfysiker,Övriga sjukhus,17,Specialist,Nej,,48300,,,,,48300
Sjukhusfysiker,Universitetssjukhus,21,Specialist,Nej,,56300,,,,,56300
Sjukhusfysiker,Universitetssjukhus,16,Specialist,Nej,,54510,8000.0,,,,62510
Sjukhusfysiker,Övriga sjukhus,8,ST-fysiker,Nej,Doktorsutbildning/examen,54000,2000.0,,,,56000
Sjukhusfysiker,Universitetssjukhus,13,ST-fysiker,Nej,,59550,2000.0,0.0,0.0,0.0,61550
Sjukhusfysiker,Universitetssjukhus,20,Nej,Nej,,64900,,,,,64900
Sjukhusfysiker,Universitetssjukhus,11,Specialist,Nej,,51950,0.0,0.0,0.0,0.0,51950
Sjukhusfysiker,Övriga sjukhus,14,ST-fysiker,Nej,,51110,,,,,51110
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,Doktorsutbildning/examen,60700,,,,,60700
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,Doktorsutbildning/examen,53700,1500.0,,,,55200
Sjukhusfysiker,Övriga sjukhus,13,Specialist,Nej,,51200,,,,,51200
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,Doktorsutbildning/examen,60000,,,,,60000
Sjukhusfysiker,Övriga sjukhus,18,Specialist,Nej,,60000,,,,,60000
Sjukhusfysiker,Övriga sjukhus,35,Specialist,Nej,Doktorsutbildning/examen,59700,0.0,0.0,0.0,0.0,59700
Sjukhusfysiker,Övriga sjukhus,18,Specialist,Nej,,53300,,,,,53300
Sjukhusfysiker,Övriga sjukhus,16,Specialist,Nej,,54600,,,,,54600
Sjukhusfysiker,Universitetssjukhus,13,Nej,Nej,Doktorsutbildning/examen,54600,,,,,54600
Sjukhusfysiker,Universitetssjukhus,17,Specialist,Nej,,51700,2000.0,,,,53700
Sjukhusfysiker,Annan arbetsplats,18,Specialist,Nej,,59300,,,,,59300
Sjukhusfysiker,Universitetssjukhus,13,Nej,Nej,,44600,,,,,44600
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,52300,,,,,52300
Sjukhusfysiker,Universitetssjukhus,20,Specialist,Nej,,48800,0.0,0.0,0.0,0.0,48800
Sjukhusfysiker,Universitetssjukhus,13,ST-fysiker,Nej,,47500,,,,,47500
Sjukhusfysiker,Universitetssjukhus,12,Specialist,Nej,Doktorsutbildning/examen,54700,0.0,0.0,0.0,0.0,54700
Sjukhusfysiker,Universitetssjukhus,15,Nej,Nej,Doktorsutbildning/examen,51550,0.0,0.0,0.0,,51550
Sjukhusfysiker,Övriga sjukhus,19,Specialist,Nej,,58510,,,,,58510
Sjukhusfysiker,Övriga sjukhus,15,Nej,Nej,,48000,,,,,48000
Sjukhusfysiker,Universitetssjukhus,15,Specialist,Nej,,55400,,,,,55400
Sjukhusfysiker,Universitetssjukhus,10,Specialist,Nej,Doktorsutbildning/examen,52900,0.0,0.0,0.0,0.0,52900
Sjukhusfysiker,Universitetssjukhus,22,Specialist,Ja,Doktorsutbildning/examen,65000,,,,,65000
Sjukhusfysiker,Övriga sjukhus,15,Nej,Nej,,47850,,,,,47850
Sjukhusfysiker,Universitetssjukhus,20,Specialist,Nej,Doktorsutbildning/examen,52400,,,,,52400
Sjukhusfysiker,Universitetssjukhus,14,ST-fysiker,Nej,Doktorsutbildning/examen,54150,0.0,0.0,0.0,0.0,54150
Sjukhusfysiker,Övriga sjukhus,19,Specialist,Nej,,60400,,,,,60400
Sjukhusfysiker,Universitetssjukhus,19,ST-fysiker,Nej,,48100,,,,,48100
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,61100,,,,,61100
Sjukhusfysiker,Universitetssjukhus,11,Specialist,Nej,Doktorsutbildning/examen,53000,4000.0,,,,57000
Sjukhusfysiker,Övriga sjukhus,21,Specialist,Nej,,54000,,,,,54000
Sjukhusfysiker,Universitetssjukhus,20,Specialist,Nej,,51000,,,,,51000
Sjukhusfysiker,Övriga sjukhus,20,Specialist,Nej,,56100,3000.0,,,,59100
Sjukhusfysiker,Övriga sjukhus,22,Specialist,Nej,,63500,,,,,63500
Sjukhusfysiker,Universitetssjukhus,13,Specialist,Nej,,54900,,,,,54900
Sjukhusfysiker,Övriga sjukhus,13,Specialist,Nej,Doktorsutbildning/examen,51050,1500.0,,,,52550
Sjukhusfysiker,Övriga sjukhus,19,ST-fysiker,Nej,,50200,,,,,50200
Sjukhusfysiker,Universitetssjukhus,22,Specialist,Nej,,52200,,,,,52200
Sjukhusfysiker,Universitetssjukhus,30,Specialist,Ja,Doktorsutbildning/examen,80100,6000.0,,,,86100
Sjukhusfysiker,Övriga sjukhus,24,Specialist,Nej,,66250,0.0,0.0,0.0,0.0,66250
Sjukhusfysiker,Övriga sjukhus,22,Specialist,Nej,,68500,1500.0,,,,70000
Sjukhusfysiker,Övriga sjukhus,7,ST-fysiker,Nej,Doktorsutbildning/examen,50550,9000.0,,,,59550
Sjukhusfysiker,Universitetssjukhus,23,Specialist,Nej,Doktorsutbildning/examen,57300,,,,,57300
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,58150,,,,,58150
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,67000,,,,,67000
Sjukhusfysiker,Universitetssjukhus,19,Specialist,Ja,Doktorsutbildning/examen,62900,2000.0,,,,64900
Sjukhusfysiker,Universitetssjukhus,26,Specialist,Nej,Doktorsutbildning/examen,58861,,,,,58861
Sjukhusfysiker,Universitetssjukhus,30,Specialist,Nej,Doktorsutbildning/examen,57100,,,,,57100
Sjukhusfysiker,Universitetssjukhus,24,Specialist,Ja,,61300,,,,,61300
Sjukhusfysiker,Övriga sjukhus,22,Specialist,Nej,,53100,,,,,53100
Sjukhusfysiker,Universitetssjukhus,27,Specialist,Nej,Doktorsutbildning/examen,61750,,,,,61750
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,60100,1500.0,,,,61600
Sjukhusfysiker,Universitetssjukhus,10,Nej,Nej,Doktorsutbildning/examen,85600,0.0,0.0,0.0,0.0,85600
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,58000,,,,,58000
Sjukhusfysiker,Universitetssjukhus,29,Nej,Nej,Doktorsutbildning/examen,55900,,,,,55900
Sjukhusfysiker,Universitetssjukhus,17,Specialist,Nej,,53400,,,,,53400
Sjukhusfysiker,Universitetssjukhus,26,Specialist,Ja,Doktorsutbildning/examen,62800,,,,,62800
Sjukhusfysiker,Universitetssjukhus,22,Specialist,Ja,Doktorsutbildning/examen,62900,,,,,62900
Sjukhusfysiker,Universitetssjukhus,26,Specialist,Nej,,69500,,,,,69500
Sjukhusfysiker,Universitetssjukhus,30,Specialist,Nej,Doktorsutbildning/examen,70800,,,,,70800
Sjukhusfysiker,Universitetssjukhus,27,Specialist,Ja,,58800,2000.0,,,,60800
Sjukhusfysiker,Övriga sjukhus,28,Specialist,Nej,,61000,0.0,0.0,0.0,0.0,61000
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Doktorsutbildning/examen,56800,,,,,56800
Sjukhusfysiker,Övriga sjukhus,23,Specialist,Nej,Doktorsutbildning/examen,65980,,,,,65980
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,,53350,,,,,53350
Sjukhusfysiker,Universitetssjukhus,30,Specialist,Ja,,68300,,,,,68300
Sjukhusfysiker,Universitetssjukhus,22,Specialist,Nej,Doktorsutbildning/examen,53400,,,,,53400
Sjukhusfysiker,Universitetssjukhus,25,Specialist,Nej,Licentiatutbildning/examen,52500,,,,,52500
Sjukhusfysiker,Övriga sjukhus,35,Nej,Nej,,67400,,,,,67400
Sjukhusfysiker,Universitetssjukhus,37,Specialist,Ja,Doktorsutbildning/examen,71300,2000.0,,,,73300
Sjukhusfysiker,Övriga sjukhus,35,Specialist,Nej,Doktorsutbildning/examen,65500,,,,,65500
Sjukhusfysiker,Övriga sjukhus,25,Specialist,Nej,Doktorsutbildning/examen,65000,,,,,65000
Sjukhusfysiker,Universitetssjukhus,27,Nej,Nej,,66000,,,,,66000
"Sjukhusfysiker, förste",Övriga sjukhus,18,Specialist,Nej,,57000,,,,,57000
"Sjukhusfysiker, förste",Övriga sjukhus,21,Specialist,Ja,,61500,2000.0,,,,63500
"Sjukhusfysiker, förste",Universitetssjukhus,24,Specialist,Nej,,63000,,,,,63000
"Sjukhusfysiker, förste",Universitetssjukhus,20,Specialist,Ja,Doktorsutbildning/examen,72850,,,,,72850
"Sjukhusfysiker, förste",Universitetssjukhus,24,Specialist,Nej,Doktorsutbildning/examen,65350,,,,,65350
"Sjukhusfysiker, förste",Universitetssjukhus,32,Specialist,Nej,,57900,,,,,57900
"Sjukhusfysiker, förste",Övriga sjukhus,33,Specialist,Nej,,61900,,,,,61900
"Sjukhusfysiker, förste",Universitetssjukhus,26,Specialist,Nej,Doktorsutbildning/examen,62550,,,,,62550
"Sjukhusfysiker, förste",Universitetssjukhus,30,Specialist,Nej,,62200,,,,,62200
"Sjukhusfysiker, förste",Universitetssjukhus,35,Specialist,Nej,,58600,0.0,0.0,0.0,0.0,58600
"Sjukhusfysiker, förste",Universitetssjukhus,25,Specialist,Ja,Doktorsutbildning/examen,68500,,,,,68500
"Sjukhusfysiker, förste",Universitetssjukhus,43,Specialist,Nej,Doktorsutbildning/examen,66500,,,,,66500
"Sjukhusfysiker, förste",Universitetssjukhus,34,Specialist,Nej,Doktorsutbildning/examen,74100,,,,,74100
"Sjukhusfysiker, förste",Universitetssjukhus,35,Specialist,Nej,Doktorsutbildning/examen,65100,,,,300.0,65400
